113,196,23,1
23,196,114,1
12,196,60,1
114,196,12,1
116,113,32,1
23,32,113,1
80,32,23,1
197,80,23,1
198,197,23,1
60,113,116,1
60,196,113,1
23,114,198,1
12,146,117,1
160,116,32,1
161,99,116,1
116,99,64,1
60,64,108,1
81,197,198,1
70,81,198,1
199,198,114,1
198,199,70,1
60,116,64,1
55,80,197,1
116,160,161,1
12,109,146,1
185,109,12,1
55,160,80,1
80,160,32,1
108,185,12,1
12,60,108,1
55,197,81,1
114,12,199,1
12,117,199,1
146,115,117,1
161,160,82,1
82,160,55,1
185,87,186,1
98,81,70,1
5,103,99,1
56,98,70,1
129,99,103,1
117,200,199,1
154,146,147,1
99,13,5,1
99,161,13,1
199,200,70,1
82,55,52,1
200,208,70,1
13,161,82,1
52,55,98,1
98,55,81,1
64,99,129,1
64,129,97,1
115,146,154,1
109,186,187,1
109,187,147,1
147,146,109,1
87,185,184,1
186,109,185,1
70,208,56,1
108,172,8,1
108,64,172,1
97,172,64,1
184,185,108,1
108,8,184,1
115,200,117,1
97,128,58,1
183,184,8,1
183,87,184,1
120,98,56,1
127,82,52,1
119,186,87,1
59,219,103,1
205,204,115,1
97,129,128,1
183,8,28,1
310,56,210,1
127,52,83,1
79,54,87,1
88,148,147,1
83,52,51,1
59,103,5,1
154,71,205,1
205,115,154,1
84,145,13,1
13,145,5,1
186,119,187,1
144,5,145,1
59,5,144,1
98,51,52,1
13,127,84,1
79,87,183,1
208,200,204,1
88,147,187,1
208,201,56,1
201,208,204,1
88,187,119,1
54,119,87,1
204,200,115,1
82,127,13,1
97,151,171,1
171,8,172,1
151,97,58,1
155,147,148,1
155,154,147,1
155,71,154,1
28,8,171,1
97,171,172,1
201,210,56,1
129,219,128,1
129,103,219,1
56,310,120,1
1397,98,120,1
1397,51,98,1
165,95,148,1
148,665,165,1
58,128,96,1
102,219,59,1
59,65,102,1
28,151,277,1
145,84,157,1
59,144,65,1
79,14,272,1
34,14,79,1
225,84,227,1
34,28,76,1
227,127,83,1
16,145,157,1
96,66,58,1
28,34,183,1
209,210,201,1
277,151,150,1
227,84,127,1
207,155,278,1
16,141,144,1
209,201,206,1
96,128,15,1
65,144,141,1
83,262,123,1
262,83,263,1
263,83,51,1
58,150,151,1
71,206,205,1
79,272,273,1
227,83,123,1
144,145,16,1
201,205,206,1
95,155,148,1
66,150,58,1
171,151,28,1
53,1597,210,1
209,53,210,1
88,665,148,1
88,664,665,1
201,204,205,1
183,34,79,1
119,143,88,1
1396,265,1397,1
206,71,207,1
155,207,71,1
15,128,219,1
15,219,102,1
157,84,225,1
277,76,28,1
1397,120,1396,1
120,310,1070,1
1070,310,211,1
273,54,79,1
54,273,274,1
274,119,54,1
119,274,143,1
155,95,278,1
310,210,1597,1
211,310,1597,1
143,664,88,1
120,1070,1396,1
1397,1398,51,1
1397,265,1398,1
1398,263,51,1
157,135,16,1
65,141,140,1
102,65,27,1
165,665,1579,1
21,1579,665,1
34,94,14,1
76,94,34,1
16,134,141,1
27,66,96,1
76,45,42,1
50,141,134,1
140,141,50,1
42,41,76,1
41,11,76,1
102,27,15,1
124,262,263,1
207,278,156,1
274,176,275,1
262,228,123,1
15,27,96,1
69,143,275,1
666,21,664,1
142,230,66,1
229,262,124,1
45,150,149,1
277,45,76,1
277,150,45,1
202,207,579,1
95,279,278,1
225,226,25,1
166,279,95,1
665,664,21,1
157,25,135,1
27,65,142,1
66,149,150,1
66,230,149,1
76,11,94,1
14,270,271,1
143,274,275,1
305,1596,1597,1
264,263,1398,1
135,134,16,1
142,65,140,1
66,27,142,1
1396,1069,1071,1
265,1396,1071,1
272,276,273,1
274,29,176,1
202,206,207,1
209,206,202,1
262,229,228,1
1597,1596,211,1
225,25,157,1
227,123,226,1
225,227,226,1
123,228,226,1
272,14,271,1
593,53,1535,1
14,94,270,1
271,276,272,1
29,274,273,1
273,276,29,1
593,1597,53,1
209,202,1535,1
1535,53,209,1
156,579,207,1
1579,1072,165,1
165,1072,95,1
95,1072,166,1
